file_name,age
0872-002-01.jpg,11
1497-003-02.jpg,15
2107-001-01.jpg,16
0150-001-01.jpg,9
2961-002-01.jpg,18
2795-003-01.jpg,12
1930-004-02.jpg,10
1459-002-01.jpg,16
0864-001-01.jpg,30
2805-002-02.jpg,17
1920-004-02.jpg,16
4061-001-02.jpg,17
2535-001-01.jpg,45
3644-001-01.jpg,15
1323-002-02.jpg,25
2703-002-01.jpg,21
1338-001-01.jpg,11
1066-001-02.jpg,30
1731-001-02.jpg,33
1687-001-01.jpg,32
2813-001-02.jpg,31
3383-002-02.jpg,10
2877-001-01.jpg,9
0741-002-02.jpg,18
2806-002-01.jpg,10
2117-001-02.jpg,16
2072-002-01.jpg,49
0993-001-01.jpg,36
2799-001-01.jpg,15
0966-001-01.jpg,13
1926-002-01.jpg,18
1752-001-01.jpg,24
4410-002-03.jpg,14
2760-001-01.jpg,11
1491-002-02.jpg,12
1370-001-01.jpg,34
2752-001-02.jpg,16
4580-001-01.jpg,42
0818-001-02.jpg,14
2958-001-01.jpg,11
1397-005-01.jpg,45
0896-001-02.jpg,17
0735-002-01.jpg,9
4147-002-01.jpg,24
0155-001-03.jpg,14
0736-001-01.jpg,11
2222-001-02.jpg,19
3270-002-01.jpg,32
0924-001-02.jpg,30
0640-003-02.jpg,17
0750-002-02.jpg,17
1017-001-01.jpg,22
0924-002-01.jpg,30
1031-001-02.jpg,12
2963-001-01.jpg,31
0917-002-02.jpg,16
0741-001-02.jpg,18
2902-002-01.jpg,6
3149-001-03.jpg,14
2323-003-02.jpg,24
0942-001-02.jpg,14
1461-001-01.jpg,9
0758-002-01.jpg,39
0762-001-01.jpg,15
2334-002-01.jpg,33
1167-001-01.jpg,21
1733-001-01.jpg,30
1769-001-01.jpg,12
0753-001-02.jpg,8
0905-001-01.jpg,13
2204-002-01.jpg,11
2337-002-01.jpg,40
0973-003-02.jpg,20
1715-001-02.jpg,29
2693-002-01.jpg,28
0921-002-02.jpg,10
1382-001-01.jpg,11
2790-001-01.jpg,12
3295-001-01.jpg,12
1961-001-02.jpg,14
2800-002-01.jpg,15
1344-003-02.jpg,45
4395-001-02.jpg,29
0935-001-01.jpg,13
1797-002-01.jpg,73
2117-002-01.jpg,16
1438-001-02.jpg,42
2097-001-01.jpg,13
4654-001-01.jpg,56
0651-001-02.jpg,16
1360-004-01.jpg,18
0776-001-02.jpg,37
3375-001-01.jpg,15
3154-001-01.jpg,10
0961-002-01.jpg,9
1688-001-01.jpg,33
1482-001-01.jpg,14
0813-001-02.jpg,9
2786-001-01.jpg,17
0500-001-02.jpg,16
